player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Ander Herrera,32,Man Utd,35, M(C)  ,16(6),1405,3,0.7,44.5,87.8,0,1.5,0.1,6.96,2,4,0,1,0.2,2,0.5,0.9,0,0.4,0.6,2.5,1.7,1,0,1,1.8,0.3,0
Joshua King,183,Bournemouth,33," AM(CLR),FW  ",34(1),2974,3,1.1,23,72,0.2,0.3,0.1,6.96,12,3,0,2.1,2.5,5,1.9,1.3,0.2,2.7,3.2,0.9,0.2,1.5,0,0.4,0.6,0.1,0
Riyad Mahrez,167,Man City,34," AM(CLR),FW  ",14(13),1338,4,0.9,29.5,84.7,0.6,1.4,0.2,6.96,7,0,0,2,0.7,3,0.9,0.6,0.3,1,1,0.5,0.3,0.4,0,0.1,0.4,0,0
Hugo Lloris,30,Tottenham,38, GK  ,33,2970,0,0,31.7,73.6,0,6.7,0,6.96,0,0,0,0,0.3,2,0,0.1,0,0,0.1,0,0,0,0,1,0.1,0,0
Lucas Moura,30,Tottenham,32," AM(CLR),FW  ",25(7),2128,0,0.8,22.6,76.1,0,0.4,0,6.96,10,3,0,1.4,1.1,3,1.4,1.5,0.4,1.1,2.1,1.1,0.8,0.8,0,0.8,0.6,0,0
Isaac Hayden,23,Newcastle,30," D(C),DMC  ",21(4),1864,4,0.9,28.8,79.4,0.2,1,0.1,6.96,1,3,1,0.9,2.2,2,0.5,0.6,0,1,1.3,2.9,1.6,1.3,0.1,1.1,0.7,0.2,0
Fabinho,26,Liverpool,31," D(CR),DMC  ",21(7),2013,2,0.6,57.5,85.3,0.1,2.6,0,6.95,1,6,0,0.6,2,0,0.4,1.1,0,0.6,0.4,2.1,1,1,0.2,0.9,1.3,0.2,0
Marcus Rashford,32,Man Utd,27," AM(CLR),FW  ",26(7),2345,6,1.2,20.2,78.1,0.3,0.5,0,6.95,10,3,1,2.5,0.9,3,1.3,1.6,0.5,1.4,2.5,0.7,0.1,0.8,0,0.7,0.7,0,0
Matt Ritchie,23,Newcastle,35," D(L),M(CLR)  ",35(1),2940,8,1.7,30.5,73.1,1.9,1.6,0,6.95,2,9,0,1.1,1,1,0.4,1.1,0,0.5,1.3,1.9,1.4,1.5,0.1,1.7,0.8,0.3,0
Ayoze Pérez,23,Newcastle,31," AM(CLR),FW  ",34(3),2928,2,1.2,21.1,75.9,0.1,0.7,0.1,6.95,12,2,0,1.5,0.7,3,1.2,1.1,0.2,2.1,2.7,1.6,1.1,1.2,0,0.8,1.2,0.1,0
