,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
147,Beto,31,Everton,27, FW  ,6(13),755,0,0.3,7.3,60.9,0,0.1,0,6.66,6,1,0,1.4,2.7,1,0.7,0.7,0.5,1,1.7,0.5,0.1,0.9,0,0.6,0.1,0.1,0
148,Toti Gomes,161,Wolves,26, D(CL)  ,19(1),1626,1,0.3,49,85.4,0.1,1.8,0,6.65,0,4,0,0.2,1.7,0,0.7,0.5,0.2,0.5,0.7,2,0.8,0.7,0.5,4.2,0.2,0.6,0
149,Mateus Fernandes,18,Southampton,20, AM(CL)  ,23(2),2015,2,1,35.1,84.2,1,1.7,0.1,6.65,1,7,0,1.1,0.4,0,1.5,1.5,0.1,0.9,1.4,2.4,0.6,1.3,0,0.8,1,0.1,0
150,Ryan Yates,174,Nottingham Forest,27, M(C)  ,15(9),1499,0,0.6,24.4,83.2,0,0.1,0,6.65,2,7,0,1.1,1.7,0,0.3,1.7,0.2,0.7,0.8,1.4,0.8,1.7,0,1.8,0.6,0.2,0
151,Dara O'Shea,165,Ipswich,26, D(CR)  ,24,2133,0,0,46.6,79.2,0,3.2,0,6.65,0,6,0,0.6,3.6,0,0,0.6,0.1,0.1,0.3,1.5,1.1,0.5,0.3,5.6,0.3,1.4,0
152,Ethan Nwaneri,13,Arsenal,17, AM(R)  ,6(11),532,1,0.5,12.2,89.4,0.6,0.4,0.1,6.65,3,1,0,1,0.1,1,1.5,0.2,0.1,0.6,0.8,0.5,0.1,0.3,0,0.1,0.5,0.1,0
153,Ederson,167,Man City,31, GK  ,18,1620,3,0.2,33.4,85,0,5.9,0,6.65,0,3,0,0,0.2,1,0,0,0,0,0.1,0,0.1,0.1,0,0.6,0.1,0,0
154,Andy Robertson,26,Liverpool,30," D(L),M(L)  ",24(2),1980,0,1.4,48.5,88.7,1.2,2,0.1,6.65,0,3,1,0.3,0.2,0,0.1,0.2,0,0.3,0.8,1.3,0.7,0.4,0.2,1.3,0.6,0.2,0
155,Chris Richards,162,Crystal Palace,24," D(C),DMC  ",14(2),1249,0,0.1,36.4,80.4,0,1.2,0,6.64,0,1,0,0.4,1.7,0,0.1,0.2,0.1,0.2,0.3,1.9,0.6,0.4,0.3,4.4,0.8,0.4,0
156,Georginio Rutter,211,Brighton,22," AM(CR),FW  ",17(9),1515,3,0.7,12.4,68.4,0,0.3,0.2,6.64,5,2,0,1.9,1,0,0.9,1.5,0.3,1.3,1.5,1.3,0.3,1.3,0,0.4,0.8,0.1,0
157,Matty Cash,24,Aston Villa,27," D(R),M(CLR)  ",16(2),1355,1,0.5,28.6,85.2,0.2,0.7,0,6.63,1,5,0,0.4,0.8,0,0.7,0.6,0.1,0.3,0.6,2.2,1,1.1,0.3,1.6,0.6,0.3,0
158,Dean Henderson,162,Crystal Palace,27, GK  ,27,2430,0,0,29,57.3,0,4.4,0,6.63,0,3,0,0,0.4,1,0,0,0,0,0.1,0.1,0,0,0,1.1,0.1,0,0
159,Fabian Schär,23,Newcastle,33, D(C)  ,22(1),1963,0,0.1,57.4,84.3,0,3.9,0.1,6.63,2,5,1,0.9,1.2,0,0.3,0.3,0.1,0.2,0.3,1.1,1.4,0.9,0.5,3.7,0.6,0.7,0
160,Matheus Nunes,167,Man City,26," D(R),M(CLR)  ",11(7),982,4,1.1,31.4,86.7,0.6,0.8,0.1,6.63,0,2,0,0.3,0.6,1,0.6,0.7,0.3,0.4,1.1,1.4,0.6,1.2,0,0.9,0.7,0.2,0
161,Emile Smith Rowe,170,Fulham,24, AM(CL)  ,20(4),1590,2,0.8,32,90.7,0.1,0.6,0,6.63,5,1,0,1.3,0.2,0,0.6,0.5,0.2,0.5,1.1,1.1,0.3,0.5,0,0.4,0.5,0,0
162,Konstantinos Mavropanos,29,West Ham,27, D(CR)  ,16(7),1545,0,0.2,39.5,86,0,2.4,0,6.63,0,2,1,0.7,2.2,0,0.4,0.5,0.1,0,0.5,1.2,1.4,0.6,0.4,3.8,0.5,0.6,0
163,Boubacar Kamara,24,Aston Villa,25," D(CL),DMC  ",13(3),1053,0,0.4,38.4,90.2,0,1.1,0,6.63,0,2,0,0.3,0.8,2,0.5,1.3,0,0.5,0.3,2.5,0.8,1.1,0.3,1.9,1.1,0.3,0
164,Jamie Vardy,14,Leicester,38," AM(L),FW  ",25,2056,3,0.6,10.5,69.6,0,0.2,0,6.63,7,4,0,1.7,1.6,1,0.4,0.7,0.7,0.4,1,0.5,0.1,0.6,0.1,0.7,0.3,0.2,0
165,Jørgen Strand Larsen,161,Wolves,25, FW  ,22(3),1915,2,0.6,12.1,62.6,0,0.3,0,6.62,7,2,0,1.4,1.9,0,0.2,0.5,0.5,0.8,2.5,0.3,0.2,1.2,0,0.8,0.7,0.1,0
166,Matt Doherty,161,Wolves,33," D(CLR),M(LR)  ",16(4),1431,1,0.5,40.3,84.2,0.1,2.5,0.1,6.62,2,5,0,0.5,1.8,0,0.4,0.4,0.1,0.2,0.5,1.4,0.9,0.7,0.6,2.7,0.3,0.6,1
167,Aaron Ramsdale,18,Southampton,26, GK  ,19,1710,0,0,38.4,61.9,0,7.9,0,6.62,0,2,0,0,0.3,2,0,0.1,0,0,0,0,0.1,0,0,0.8,0.1,0,0
168,Sandro Tonali,23,Newcastle,24, DMC  ,17(8),1642,1,0.4,35.6,85.3,0.1,1,0.1,6.62,1,5,0,0.9,0.3,0,0.5,1.4,0.1,0.9,0.8,1.4,0.9,1.2,0,0.8,0.7,0.4,0
169,Orel Mangala,31,Everton,26, M(C)  ,14(5),1256,0,0.4,25.4,90.3,0.1,0.8,0,6.61,1,2,0,0.8,0.3,0,0.7,0.9,0.1,0.6,0.6,0.8,1.1,1.3,0,1.1,0.2,0.2,0
170,Bernd Leno,170,Fulham,33, GK  ,27,2430,1,0.1,33.5,79.4,0,4.1,0,6.61,0,3,0,0,0.3,3,0,0.1,0,0,0,0.1,0,0,0,0.9,0,0,0
171,Will Hughes,162,Crystal Palace,29, M(CLR)  ,19(5),1654,3,1.2,30.1,81.5,0.5,0.8,0,6.61,0,10,0,0.7,0.6,0,0.1,1.1,0,0.9,0.7,2.5,0.7,2.2,0,0.7,1.3,0.5,0
172,Ashley Young,31,Everton,39," D(LR),M(LR)  ",17(7),1557,3,0.8,25.6,73.1,0.5,2.1,0,6.61,1,6,1,0.3,0.4,1,0.2,0.7,0,0,0.3,2,0.9,1,0.3,2,0.8,0.1,0
173,Timothy Castagne,170,Fulham,29," D(CLR),M(LR)  ",12(5),1158,1,0.5,34.5,84.7,0.2,1.2,0,6.61,0,1,0,0.3,1.3,0,0.2,0.2,0.1,0.3,0.5,1.8,0.8,0.6,0.3,2.6,0.6,0.2,0
174,Mads Hermansen,14,Leicester,24, GK  ,20,1756,0,0,32.8,57.9,0,5.2,0,6.60,0,0,0,0,0.2,0,0.1,0.1,0,0,0,0.1,0,0,0,1.3,0,0,0
175,Yasin Ayari,211,Brighton,21, M(C)  ,15(8),1363,0,1,26.9,84.6,0.5,0.3,0,6.60,0,3,0,0.7,0.3,0,0.7,0.8,0.1,0.8,1.2,1.9,0.7,1.2,0,0.7,1,0.2,0
176,Victor Kristiansen,14,Leicester,22," D(L),M(L)  ",24,2117,1,0.7,39.3,82.2,1.2,1.7,0,6.59,0,1,0,0.1,0.7,0,0.3,0.7,0.1,0.5,0.4,3.3,1.5,0.7,0.6,2.5,1.4,0.5,1
177,Dominic Calvert-Lewin,31,Everton,27," AM(L),FW  ",19(3),1582,1,0.3,12.3,63.5,0,0.1,0,6.59,3,2,0,2.1,3.8,1,0.5,1,1.2,1.5,3.2,0.4,0.3,1.2,0,0.8,0.2,0.1,0
178,Vitaly Janelt,189,Brentford,26," D(L),DMC  ",23(3),1965,3,0.5,33.6,84.9,0.3,1.6,0.1,6.59,1,3,0,0.5,0.6,0,0.1,0.5,0,0.4,0.6,1.3,1,0.8,0,1.6,0.5,0.3,1
